[2025-08-08 10:11:01,741] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2025-08-08 10:11:01,767] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 51 become-leader and 0 become-follower partitions (state.change.logger)
[2025-08-08 10:11:01,769] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 51 partitions (state.change.logger)
[2025-08-08 10:11:01,900] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2025-08-08 10:11:01,917] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 51 partitions (state.change.logger)
[2025-08-08 10:11:01,927] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,936] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,942] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,947] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,952] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,957] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,961] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,965] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,969] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,973] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,977] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,981] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,984] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,988] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:01,993] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
